trial,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
185,-10.570713777770764014492360272,1.4158942988319855334374731615,-28.550625892674888336387110422,9,0.0033389118385216720,2.4631789340931816,2.2420537402583528,0.0006050816781842530,0.000006806476044844130,6,0.0008064311991010005,,45,-0.0518048059269963295094528708,0.9353388473747589684908826007,0.0194259859300337097248070296,-90.26907340214884067046204485,0.3333333333333333333333333333,13,-0.3041993831101057660796822841,0.5518893760578991534697038794,0.0149271107158338071978022871,-252.35228042997966920665330657,0.2307692307692307692307692308
127,-12.201147949418360222320806454,-17.959811103569031307145610034,-3.5631532181923535950836010840,20,0.0174385177415974950,2.3901299966453250,1.385021227358384,0.0007097771962684470,0.0005166916044041010,12,0.0001976462373033375,1.5,468,-0.130919533795144291634319591,0.6222032827461172640878399782,0.1821849078045090440789377885,-4553.8803422151983399911858367,0.3760683760683760683760683761,131,-0.0813994127021690976551577209,0.7477813883806983494939667817,0.0543440460474132523725028774,-801.9129049759020763334323687,0.4503816793893129770992366412
142,-16.287646378584583618160401566,-16.086658002314380000244941880,-16.589128942989889045033591094,10,0.0080018339254901810,2.3675860734505518,3.4274413723160696,0.000209194128033330,0.0004805197243022360,20,0.0005051000504778240,1.5,203,-0.1546638383930363824453411482,0.6709080477444166803335925065,0.0916982039202092822920461536,-2224.1390941201266244085881900,0.3645320197044334975369458128,57,-0.1881624190105708814619232657,0.6410520757456827177946272969,0.0350195073391439128871021012,-738.99877705178608486946507500,0.3859649122807017543859649123
43,-17.602956166798157626131718534,-25.037457685077584208435783688,-6.4512038893790177526756208030,23,0.01550655189552650,2.8259137551420894,2.8397681441808896,0.0001159949838723960,0.0003468222643001110,7,0.0002058605925207315,1.0,185,-0.2032803802262166087990337157,0.4264304976349112463715590002,0.1142489288663262797547344785,-2852.4445955581223601435994724,0.3297297297297297297297297297,52,-0.1116807575803073278236184802,0.5941544052071370302588338942,0.0207897399646894017543385308,-419.37458602652582646005363250,0.3461538461538461538461538462
114,-17.721148699788143769490482450,-9.560731658529259152166161868,-29.961774261676470695476963322,10,0.0044171526019541260,2.8853743903736466,2.2425732785568440,0.00002548659966582740,0.0001350357477250680,13,0.0002173494108567705,2.0,103,-0.1478217397307437588829815072,0.7476813696338235420170645448,0.0422772389566170906619052074,-750.98351654130866970129084005,0.3592233009708737864077669903,35,-0.3289133435644318845038305987,0.4778944229501766582174910398,0.0315822772892955711399708716,-705.21687299149879183135877875,0.2571428571428571428571428571
77,-18.967227248264423163224390141,-26.884199576886945181113530108,-7.0917687553306401363906801890,16,0.0187994351283644440,2.0503806029681034,2.7593032092132152,0.0008893067449747150,0.0001856969321080,19,0.0006419586046328580,1.0,290,-0.2021455823104833100650076839,0.4812561186104437599210380382,0.1838496581154965494951544308,-4578.4179207444774899688028150,0.3689655172413793103448275862,81,-0.112624733445030555107237445,0.6690469603509352822106838524,0.0330483615112285448738428312,-682.55072735960449686310629500,0.3950617283950617283950617284
141,-19.023144740555329173914087438,-26.238640855269373540587394250,-8.199900568484262623904127221,15,0.0095539221063041720,2.949901614501096,1.9243379607909992,0.0008706275708370970,0.0004894275392822120,16,0.0002968959770150925,1.0,293,-0.1977079195744457472482978171,0.4827462075461612486654838196,0.1782276480371567974768204433,-4363.1516158964215368074778886,0.3651877133105802047781569966,85,-0.1206607126971021293882987951,0.6618377429448501267918176041,0.0527452839897383753816875555,-769.63987242236139896607390130,0.4352941176470588235294117647
74,-19.091066537572549418119219877,-26.052539345958119856050002251,-8.648857324994193761223046314,14,0.0137939631709800780,1.8940475810757126,2.0270795278842944,0.0008299008849216160,0.0002084620777556960,17,0.0002934963350619645,2.0,560,-0.1602839473194680047818593438,0.6055816027551313565700593602,0.2782793747745724969279733914,-6743.7506592952024319874925210,0.3482142857142857142857142857,161,-0.1137653031538954483549476061,0.6983343624067511275388266767,0.0730915547499459362627682079,-1353.9642211878455723504536320,0.4223602484472049689440993789
96,-19.527370776017823916307530585,-14.733866994803469066923561879,-26.717626447839356190383483646,12,0.0072209268376328630,1.3944130959894564,3.3060273903450128,0.0006837474795448350,0.0003533354687287170,16,0.0004817275681913490,2.0,152,-0.1434735813487019961486018437,0.6645796017791800943608957936,0.0781769617520322721109775731,-1646.5469087999148848300982475,0.3421052631578947368421052632,51,-0.275656613902305938240438196,0.4668943059225180067320433472,0.0482491482521718064196808236,-1005.2781458191541572273638625,0.3137254901960784313725490196
75,-19.956146779649383450813060462,-11.145288840039165391680130754,-33.172433689064710539512455024,7,0.0049338847747696030,2.1741461750930862,1.6099996490916224,0.0004603892394622740,0.0009348396085830590,7,0.0003463806441735390,,507,-0.0903535251172445007433294364,0.7990087975097457909250682023,0.1792870714340971230685427486,-3528.4474469782871400117310700,0.3451676528599605522682445759,137,-0.2892042005321364529643076067,0.4857499145475545867053315388,0.1465095044528233020149067676,-2765.0702121363600767673463375,0.2846715328467153284671532847
2,-19.971967490060100050042560326,-17.777713442609888048714970642,-23.263348561235418052033944853,14,0.0053752007239382790,1.8968527978737150,1.6183534762441904,0.00002081088489890610,0.0001348336022975080,15,0.0002926366018562745,2.0,187,-0.1789955912793014370822141877,0.6152340480756799726773277095,0.1040920387658737384881937222,-2164.0135124086638165947323526,0.3636363636363636363636363636,58,-0.2503686504014397106771347856,0.5437086248361060174371632709,0.0476303697480245021482009544,-916.0880443606307597591239825,0.344827586206896551724137931
