trial,strategy,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,camMinPrice,camMaxPrice,camMinGapPct,camMinDayGainPct,camMinRvol,camPullbackBars,camMaxPullbackPct,camStopCents,camRoundBreakDist,emMinPrice,emMaxPrice,emMinGapPct,emMinPremarketVol,emMinRvol,emPoleBars,emMinPolePct,emFlagBars,emMaxFlagRetrace,emEntryBufCents,emStopBufCents,revLookback,revRangePct,revPivot,revSwings,revMaxBarsAfterLow,revMinGreenBody,revMinLowerWick,revEntryBufPct,revStopBufPct,revMinBullRunPct,revTakeProfitPct,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
1,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.023507975443968540,5,5,4,1.8445774619209475,0.2497876385924348,0.001472261246979358,0.00078064909427457,0.03530024255407055,0.5690821166937623,8,0.0003239709226526190,,0,0,0,0,0,0,0,0,0,0,0,0
2,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.02674168011487540,4,3,5,1.8749905521864959,0.3076595191413815,0.000207404520459196,0.001588749154745019,0.02793775084332460,0.7122516443544308,12,0.0009308224839301890,,0,0,0,0,0,0,0,0,0,0,0,0
3,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,67,0.05739413699945160,3,3,4,1.2894915743682032,0.3552612759895907,0.000970781930243030,0.000758416358734674,0.04853894245742770,0.500773681793722175,10,0.000671936855033010,,0,0,0,0,0,0,0,0,0,0,0,0
4,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.05557886953259765,3,4,2,1.6717172485178882,0.2884335938321582,0.000739067192533550,0.002558042029644381,0.0187832781992775,0.7556601673623827,13,0.0009237501218094255,,0,0,0,0,0,0,0,0,0,0,0,0
5,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,52,0.04483484215328230,2,5,4,1.16053368857155262,0.4791993310578164,0.000353884471745176,0.0002844349780513137,0.03090380276595420,0.6019638688312676,1,0.0012294896681464695,,0,0,0,0,0,0,0,0,0,0,0,0
6,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,31,0.06348014283156030,4,6,2,1.764427514823353,0.413353686087464,0.000878163325077930,0.001123920560872146,0.04236438365763260,0.6957363603151106,6,0.00011357175447678735,,0,0,0,0,0,0,0,0,0,0,0,0
7,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.03428480928963275,3,6,3,1.5896454525597602,0.3802707992867897,0.0001410233155549612,0.002307076074791643,0.011042037178316170,0.6365862290545304,15,0.00008906153570351265,,0,0,0,0,0,0,0,0,0,0,0,0
8,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,77,0.04766238387099580,3,4,2,1.2002313467675036,0.2764979696257496,0.000926761470235308,0.001846541576016015,0.03125878947379940,0.6916831838859632,2,0.0012174162162548940,,0,0,0,0,0,0,0,0,0,0,0,0
9,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,35,0.06665878109943995,2,3,5,1.4398841005004405,0.2832599565774482,0.001271379978056708,0.002984986680087162,0.04224841255333665,0.7777782528557714,5,0.0012687883189734015,,0,0,0,0,0,0,0,0,0,0,0,0
10,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0.04070282302829570,4,4,5,1.3477719978186167,0.21570915869237351,0.000609360792026558,0.002408800526712462,0.01789656381024820,0.5504197985168639,20,0.0005306795067296730,,0,0,0,0,0,0,0,0,0,0,0,0
11,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0.0202318731277398175,4,4,5,1.6508637020601254,0.438542213169179,0.001521212730333774,0.001290308217653217,0.043386352115025,0.7681279717330484,15,0.0002571473604799935,,0,0,0,0,0,0,0,0,0,0,0,0
12,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.04190541905439710,3,6,5,1.4105793421671626,0.2529959189021009,0.000895284912034536,0.00094661730944487,0.05204683857599590,0.7142697842392463,8,0.0008646205146166590,,0,0,0,0,0,0,0,0,0,0,0,0
13,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0.02161556911264340,4,4,4,1.107817181249995334,0.22516676863896044,0.000991245664186424,0.002509687887742038,0.02364478630183485,0.5070068663484449,11,0.0011766717821251005,,0,0,0,0,0,0,0,0,0,0,0,0
14,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.04099274968308990,2,4,4,1.8698493936890036,0.3645672381690551,0.001354661078823108,0.000592991370518223,0.0407127740609985,0.7642988083717874,18,0.0003744777747776715,,0,0,0,0,0,0,0,0,0,0,0,0
15,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,71,0.06031691783588235,5,3,1,1.908291038362445,0.22758156407046206,0.00056821343981112,0.000745287160736178,0.04814146641555310,0.576102785103071,3,0.0013387240447749960,,0,0,0,0,0,0,0,0,0,0,0,0
16,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0.0509127740473080,4,3,1,1.4602953322512542,0.3206235201659723,0.000247663143206230,0.0000936942855332487,0.04783990346726025,0.6087169825605662,19,0.00014191102988175630,,0,0,0,0,0,0,0,0,0,0,0,0
17,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.06081271139011380,5,3,3,1.6633409482256231,0.3345213413399279,0.001051184991864108,0.000557123759555223,0.02387754360394440,0.6768436850872094,13,0.000163792552502730,,0,0,0,0,0,0,0,0,0,0,0,0
18,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,36,0.04231533889300905,4,3,4,1.8484189074246296,0.2739913508640563,0.00170769344349750,0.002910942199132845,0.05651509898086780,0.500456539355431004,20,0.0006735642392530875,,0,0,0,0,0,0,0,0,0,0,0,0
19,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.04302656915179760,2,6,1,1.589378545940564,0.2827203457163276,0.0001381866755607476,0.0001177702644456972,0.02378421595496320,0.6155070748718024,2,0.0005171601409172460,,0,0,0,0,0,0,0,0,0,0,0,0
20,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,62,0.05353420066811805,3,5,2,1.17769681214247683,0.3890181317874314,0.0001120352400988504,0.000825219238561215,0.0577885811346530,0.6870471310275827,20,0.00014965860599170380,,0,0,0,0,0,0,0,0,0,0,0,0
21,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0.05515874731128975,2,6,5,1.9078052052333044,0.2628169839562928,0.001938026149728348,0.00043579951787172,0.05939365440485705,0.6199316653050164,8,0.0003420158770596690,,0,0,0,0,0,0,0,0,0,0,0,0
22,ReversalUp,-1000.0000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.03676404376829230,2,3,1,1.2037857967446491,0.494892967583096,0.000624504476145144,0.000611505001136802,0.0387976911425580,0.646086956349242,6,0.0008843960561251245,,0,0,0,0,0,0,0,0,0,0,0,0
