symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
DKNG,Long,289,2025-06-04T18:10:00.0000000Z,,,34.51,,34.31124,,,NoFill,0,0
DKNG,Long,280,2025-06-06T18:45:00.0000000Z,,,35.685,,35.39906,,,NoFill,0,0
DKNG,Long,275,2025-06-09T17:35:00.0000000Z,2025-06-09T17:40:00.0000000Z,2025-06-09T19:50:00.0000000Z,36.255,36.2731275,36.022810,,36.251865,EndOfDay,-5.8471875,-0.0849421235031509982322450488
DKNG,Long,264,2025-06-12T17:20:00.0000000Z,2025-06-12T17:25:00.0000000Z,2025-06-12T19:50:00.0000000Z,37.825,37.8439125,37.559730,,37.911035,EndOfDay,17.7203400,0.2361950507156492746738451523
DKNG,Long,263,2025-06-12T19:50:00.0000000Z,2025-06-13T13:30:00.0000000Z,2025-06-12T19:55:00.0000000Z,37.93,37.948965,37.629590,,37.9810,EndOfDay,8.425205,0.1003052837573385518590998043
HOOD,Long,128,2025-06-16T19:00:00.0000000Z,2025-06-16T19:05:00.0000000Z,2025-06-16T19:50:00.0000000Z,76.57,76.608285,75.833030,,76.821570,EndOfDay,27.300480,0.2751159295973582885631179418
DKNG,Long,263,2025-06-16T19:20:00.0000000Z,2025-06-16T19:25:00.0000000Z,2025-06-16T19:50:00.0000000Z,37.9,37.91895,37.649550,,37.8560625,EndOfDay,-16.5394125,-0.2334354120267260579064587973
DKNG,Long,241,2025-06-23T19:20:00.0000000Z,2025-06-23T19:25:00.0000000Z,2025-06-23T19:50:00.0000000Z,41.345,41.3656725,41.02778,,41.439270,EndOfDay,17.7369975,0.2178133577987081690182528467
BROS,Long,141,2025-06-24T17:45:00.0000000Z,2025-06-24T17:50:00.0000000Z,2025-06-24T19:50:00.0000000Z,70.72,70.755360,70.07956,,70.424770,EndOfDay,-46.613190,-0.489183190292986090559337082
DKNG,Long,232,2025-06-25T16:40:00.0000000Z,2025-06-25T16:45:00.0000000Z,2025-06-25T17:50:00.0000000Z,42.91,42.931455,42.62458,,42.603267710,Stop,-76.139451280,-1.069449417515274949083503055
HOOD,Long,118,2025-06-26T18:05:00.0000000Z,2025-06-26T18:25:00.0000000Z,2025-06-26T18:40:00.0000000Z,84.33,84.372165,83.7322,,83.69033390,Stop,-80.45606980,-1.0654193588711882681084121788
DKNG,Long,229,2025-07-10T17:55:00.0000000Z,2025-07-10T18:00:00.0000000Z,2025-07-10T19:50:00.0000000Z,43.54,43.561770,43.18346,,44.4427675,EndOfDay,201.7484275,2.3287713779704475165869260659
